,First Name,Last Name,Email,Phone Number,Department Id,Job Id,Salary,Commission Pct,Manager Id,Hire Date
100,Steven,King,SKING,515.123.4567,90,AD_PRES,24000,,,17-Jun-87
102,Lex,De Haan,LDEHAAN,515.123.4569,90,AD_VP,17000,,100,13-Jan-93
101,Neena,Kochhar,NKOCHHAR,515.123.4568,90,AD_VP,17000,,100,21-Sep-89
145,John,Russell,JRUSSEL,011.44.1344.429268,80,SA_MAN,14000,0.4,100,1-Oct-96
146,Karen,Partners,KPARTNER,011.44.1344.467268,80,SA_MAN,13500,0.3,100,5-Jan-97
201,Michael,Hartstein,MHARTSTE,515.123.5555,20,MK_MAN,13000,,100,17-Feb-96
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,80,SA_MAN,12000,0.3,100,10-Mar-97
108,Nancy,Greenberg,NGREENBE,515.124.4569,100,FI_MGR,12000,,101,17-Aug-94
205,Shelley,Higgins,SHIGGINS,515.123.8080,110,AC_MGR,12000,,101,7-Jun-94
168,Lisa,Ozer,LOZER,011.44.1343.929268,80,SA_REP,11500,0.25,148,11-Mar-97
114,Den,Raphaely,DRAPHEAL,515.127.4561,30,PU_MAN,11000,,100,7-Dec-94
174,Ellen,Abel,EABEL,011.44.1644.429267,80,SA_REP,11000,0.3,149,11-May-96
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,80,SA_MAN,11000,0.3,100,15-Oct-99
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,80,SA_REP,10500,0.25,147,11-Nov-97
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,80,SA_MAN,10500,0.2,100,29-Jan-00
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,80,SA_REP,10000,0.2,148,23-Mar-98
204,Hermann,Baer,HBAER,515.123.8888,70,PR_REP,10000,,101,7-Jun-94
156,Janette,King,JKING,011.44.1345.429268,80,SA_REP,10000,0.35,146,30-Jan-96
150,Peter,Tucker,PTUCKER,011.44.1344.129268,80,SA_REP,10000,0.3,145,30-Jan-97
170,Tayler,Fox,TFOX,011.44.1343.729268,80,SA_REP,9600,0.2,148,24-Jan-98
163,Danielle,Greene,DGREENE,011.44.1346.229268,80,SA_REP,9500,0.15,147,19-Mar-99
151,David,Bernstein,DBERNSTE,011.44.1344.345268,80,SA_REP,9500,0.25,145,24-Mar-97
157,Patrick,Sully,PSULLY,011.44.1345.929268,80,SA_REP,9500,0.35,146,4-Mar-96
103,Alexander,Hunold,AHUNOLD,590.423.4567,60,IT_PROG,9000,,102,3-Jan-90
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,80,SA_REP,9000,0.35,146,1-Aug-96
109,Daniel,Faviet,DFAVIET,515.124.4169,100,FI_ACCOUNT,9000,,108,16-Aug-94
152,Peter,Hall,PHALL,011.44.1344.478968,80,SA_REP,9000,0.25,145,20-Aug-97
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,80,SA_REP,8800,0.25,149,19-Mar-97
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,80,SA_REP,8600,0.2,149,24-Mar-98
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,80,SA_REP,8400,0.2,149,23-Apr-98
206,William,Gietz,WGIETZ,515.123.8181,110,AC_ACCOUNT,8300,,205,7-Jun-94
121,Adam,Fripp,AFRIPP,650.123.2234,50,ST_MAN,8200,,100,10-Apr-97
110,John,Chen,JCHEN,515.124.4269,100,FI_ACCOUNT,8200,,108,28-Sep-97
153,Christopher,Olsen,COLSEN,011.44.1344.498718,80,SA_REP,8000,0.2,145,30-Mar-98
159,Lindsey,Smith,LSMITH,011.44.1345.729268,80,SA_REP,8000,0.3,146,10-Mar-97
120,Matthew,Weiss,MWEISS,650.123.1234,50,ST_MAN,8000,,100,18-Jul-96
122,Payam,Kaufling,PKAUFLIN,650.123.3234,50,ST_MAN,7900,,100,1-May-95
112,Jose Manuel,Urman,JMURMAN,515.124.4469,100,FI_ACCOUNT,7800,,108,7-Mar-98
111,Ismael,Sciarra,ISCIARRA,515.124.4369,100,FI_ACCOUNT,7700,,108,30-Sep-97
160,Louise,Doran,LDORAN,011.44.1345.629268,80,SA_REP,7500,0.3,146,15-Dec-97
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,80,SA_REP,7500,0.2,145,9-Dec-98
171,William,Smith,WSMITH,011.44.1343.629268,80,SA_REP,7400,0.15,148,23-Feb-99
172,Elizabeth,Bates,EBATES,011.44.1343.529268,80,SA_REP,7300,0.15,148,24-Mar-99
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,80,SA_REP,7200,0.1,147,24-Jan-00
178,Kimberely,Grant,KGRANT,011.44.1644.429263,,SA_REP,7000,0.15,149,24-May-99
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,80,SA_REP,7000,0.15,145,23-Nov-99
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,80,SA_REP,7000,0.25,146,3-Nov-98
113,Luis,Popp,LPOPP,515.124.4567,100,FI_ACCOUNT,6900,,108,7-Dec-99
165,David,Lee,DLEE,011.44.1346.529268,80,SA_REP,6800,0.1,147,23-Feb-00
123,Shanta,Vollman,SVOLLMAN,650.123.4234,50,ST_MAN,6500,,100,10-Oct-97
203,Susan,Mavris,SMAVRIS,515.123.7777,40,HR_REP,6500,,101,7-Jun-94
166,Sundar,Ande,SANDE,011.44.1346.629268,80,SA_REP,6400,0.1,147,24-Mar-00
167,Amit,Banda,ABANDA,011.44.1346.729268,80,SA_REP,6200,0.1,147,21-Apr-00
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,80,SA_REP,6200,0.1,149,4-Jan-00
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,80,SA_REP,6100,0.1,148,21-Apr-00
104,Bruce,Ernst,BERNST,590.423.4568,60,IT_PROG,6000,,103,21-May-91
202,Pat,Fay,PFAY,603.123.6666,20,MK_REP,6000,,201,17-Aug-97
124,Kevin,Mourgos,KMOURGOS,650.123.5234,50,ST_MAN,5800,,100,16-Nov-99
105,David,Austin,DAUSTIN,590.423.4569,60,IT_PROG,4800,,103,25-Jun-97
106,Valli,Pataballa,VPATABAL,590.423.4560,60,IT_PROG,4800,,103,5-Feb-98
200,Jennifer,Whalen,JWHALEN,515.123.4444,10,AD_ASST,4400,,101,17-Sep-87
107,Diana,Lorentz,DLORENTZ,590.423.5567,60,IT_PROG,4200,,103,7-Feb-99
184,Nandita,Sarchand,NSARCHAN,650.509.1876,50,SH_CLERK,4200,,121,27-Jan-96
185,Alexis,Bull,ABULL,650.509.2876,50,SH_CLERK,4100,,121,20-Feb-97
192,Sarah,Bell,SBELL,650.501.1876,50,SH_CLERK,4000,,123,4-Feb-96
193,Britney,Everett,BEVERETT,650.501.2876,50,SH_CLERK,3900,,123,3-Mar-97
188,Kelly,Chung,KCHUNG,650.505.1876,50,SH_CLERK,3800,,122,14-Jun-97
189,Jennifer,Dilly,JDILLY,650.505.2876,50,SH_CLERK,3600,,122,13-Aug-97
137,Renske,Ladwig,RLADWIG,650.121.1234,50,ST_CLERK,3600,,123,14-Jul-95
141,Trenna,Rajs,TRAJS,650.121.8009,50,ST_CLERK,3500,,124,17-Oct-95
