----------------------------------------------------------
-- This is the Insert Script for the Parking_Type Table --
----------------------------------------------------------
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT001', 'No Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT002', 'Street Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT003', 'Garage Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT004', 'Parking Lot');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT005', 'Parking Ramp');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT006', 'Metered Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT007', 'Valet Parking');
insert into PARKING_TYPE (PARKING_TYPE_ID, TYPE) values ('PT008', 'Fringe Parking');

-----------------------------------------------------------
-- This is the Insert Script for the Private_Owner Table --
-----------------------------------------------------------
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('1', 'Alanah', 'Hamlington', '2 Loeprich Road', 'Savannah', 'GA', '31405', '9123375945');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('2', 'Ferdinande', 'Stoter', '5 Mallard Alley', 'Lincoln', 'NE', '68583', '4027075871');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('3', 'Marcellina', 'Sarfas', '240 Northridge Crossing', 'Mobile', 'AL', '36628', '2518334866');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('4', 'Thalia', 'Sneyd', '577 Center Trail', 'Albany', 'NY', '12247', '5183074487');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('5', 'Beverly', 'Barendtsen', '585 Anzinger Place', 'Bradenton', 'FL', '34210', '9415888384');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('6', 'Annette', 'Manlow', '46 Pleasure Avenue', 'New Haven', 'CT', '06533', '2034596188');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('7', 'Blair', 'O''Spellissey', '13 Buena Vista Circle', 'Wilmington', 'DE', '19810', '3027484096');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('8', 'Abram', 'Bartalin', '03 Anthes Court', 'San Rafael', 'CA', '94913', '4151000446');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('9', 'Lucretia', 'Jellybrand', '74 Maple Hill', 'Rochester', 'MN', '55905', '5074940329');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('10', 'Kathe', 'Macak', '37473 Cottonwood Court', 'New Haven', 'CT', '06505', '2032141723');
insert into PRIVATE_OWNER (OWNER_NO, FNAME, LNAME, STREET, CITY, STATE, POST_CODE, TELNO) values ('11', 'Blair', 'Lemmon', '1326 Brickson Park Court', 'Miami', 'FL', '33196', '3055591157');
